Structure_ID,Steere_ID,Database_Appearance,Site_Name,Site_Number,State,County,Period,Period_Certainty,Type,Structure,Shape_Class,Long_dimension,Short_dimension,Area_square_m,Functional_Class,Reference
1283,394,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,12,Elliptical,7,7,38.59999847,D,Schroedl 1986; Steere 2011
1288,395,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,18,Elliptical,7.199999809,7.2,40.70000076,D,Schroedl 1986; Steere 2011
1292,396,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,20,Elliptical,6,6,29.20000076,D,Schroedl 1986; Steere 2011
1296,397,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,25,Elliptical,7,7,38.59999847,D,Schroedl 1986; Steere 2011
1298,398,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,27,Elliptical,6.699999809,6.7,35.29999924,D,Schroedl 1986; Steere 2011
1300,399,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,3,Elliptical,7,7,38.59999847,D,Schroedl 1986; Steere 2011
1304,400,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,5,Elliptical,7,7,35.29999924,D,Schroedl 1986; Steere 2011
1305,401,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,5,Elliptical,7,7,38.59999847,D,Schroedl 1986; Steere 2011
1285,402,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,14,Elliptical,5.800000191,5.8,19.60000038,D,Schroedl 1986; Steere 2011
1286,403,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,15,Elliptical,6.699999809,6.7,35.29999924,D,Schroedl 1986; Steere 2011
1287,404,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,16,Elliptical,7,7,35.29999924,D,Schroedl 1986; Steere 2011
1294,405,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,22,Elliptical,2.099999905,2.1,3.599999905,S,Schroedl 1986; Steere 2011
1295,406,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,23,Elliptical,2.599999905,2.6,5.300000191,S,Schroedl 1986; Steere 2011
1280,407,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,1,Elliptical,3.299999952,3.3,8.600000381,IO,Schroedl 1986; Steere 2011
1302,408,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,4,Rectangular,9.300000191,4.099999905,38.40000153,D,Schroedl 1986; Steere 2011
1282,409,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,11,Rectangular,10.69999981,5.800000191,61.79999924,D,Schroedl 1986; Steere 2011
1284,410,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,13,Rectangular,9.800000191,5.199999809,50.5,D,Schroedl 1986; Steere 2011
1289,411,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,19,Rectangular,8.800000191,5.800000191,51.20000076,D,Schroedl 1986; Steere 2011
1293,412,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,21,Rectangular,9.100000381,4.900000095,44.59999847,D,Schroedl 1986; Steere 2011
1297,413,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,26,Rectangular,9.800000191,5.5,53.5,D,Schroedl 1986; Steere 2011
1299,414,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,28,Rectangular,7.900000095,4.900000095,38.59999847,D,Schroedl 1986; Steere 2011
1308,415,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,8,Rectangular,9.100000381,3.5,30.70000076,D,Schroedl 1986; Steere 2011
1290,416,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,2,Rectangular,6.199999809,4,24.39999962,D,Schroedl 1986; Steere 2011
1301,417,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,3,Rectangular,4.599999905,4,18.10000038,D,Schroedl 1986; Steere 2011
1309,418,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,9,Rectangular,5.199999809,4.599999905,23.70000076,D,Schroedl 1986; Steere 2011
1291,419,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,2,Rectangular,6.699999809,5.199999809,34.70000076,D,Schroedl 1986; Steere 2011
1312,526,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,Townhouse 1-2,Elliptical,18.3,18.3,263,ND,Schroedl 1986; Steere 2011
1311,527,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,11 PH/H,,Structure,Summer Pavilion,Rectangular,13,6.099999905,79.30000305,ND,Schroedl 1986; Steere 2011
1310,528,2014_03_12,Chota-Tanase,40-Mr-2/62,TN,Monroe TN,09 EM/Miss,,Structure,Feature 1,Rectangular,7.599999905,6.199999809,46.70000076,D,Schroedl 1986; Steere 2011
